,Predicted_price
1,139512.4697
2,-20253.04876
3,-174220.0402
4,-162625.0145
5,170818.0431
6,133737.9155
7,-64435.83675
8,-117572.9011
9,226209.7093
10,1543.469781
11,24178.89377
12,-336.0603577
13,-47991.01824
14,-36253.56438
15,379.8572
16,8199.456996
17,8199.456996
18,171719.9632
19,122228.4444
20,125664.5968
21,63709.92831
22,47125.80207
23,4069.026942
24,3630.502655
25,20800.0416
26,19956.82351
27,3824.667411
28,6479.705198
29,59893.21625
30,21867.31342
31,73831.94649
32,46544.88873
33,-105054.022
34,-98787.07953
35,-73043.43383
36,-73314.12663
37,-53329.28541
38,-61802.86184
39,114342.3723
40,175768.1689
41,114342.3723
42,175768.1689
43,158350.2031
44,-96921.82015
45,-156861.103
46,-132329.8524
47,-132367.3412
48,-159187.3196
49,-76336.61298
50,2441.917098
51,-5533.508263
52,-6105.888834
53,25023.23051
54,208378.6106
55,125996.7527
56,100944.6488
57,103419.7277
58,84685.42453
59,77478.22659
60,-81178.26449
61,221239.4149
62,-80647.88835
63,-71788.11055
64,-100517.7014
65,-79971.44588
66,-103729.6651
67,-72037.49334
68,-100870.2571
69,-42862.24543
70,103550.7872
71,123724.3341
72,-187563.4734
73,-197227.4404
74,-190603.8587
75,96053.64412
76,59082.63028
77,18989.45411
78,-193639.0148
79,-126353.1134
80,-88509.64628
81,-126648.1232
82,-194193.7327
83,-126648.1232
84,-199121.0478
85,3243.533774
86,-69693.88483
87,6793.51689
88,-15951.83474
89,-38129.28162
90,185251.0965
91,59879.36665
92,135684.0472
93,57761.07176
94,163427.2328
95,51274.99902
96,-29780.85458
97,-164366.0932
98,-26759.95874
99,-38099.14782
100,3548.319443
101,50519.47107
102,127431.1991
103,89354.58207
104,133903.164
105,63551.15932
106,125144.1402
107,108624.925
108,137521.4353
109,19967.70983
110,-69254.37675
111,-90289.0515
112,-50520.7963
113,68504.53263
114,94779.44597
115,202138.3832
116,-51244.02128
117,-71644.91637
118,112729.1863
119,178868.5009
120,-8278.420485
121,-68426.46873
122,-41130.85708
123,-55156.76203
124,-61680.63013
125,153975.2153
126,171132.226
127,149085.3137
128,149770.5313
129,182076.1739
130,123033.4167
131,162359.3897
132,48507.24462
133,179491.5032
134,180454.8271
135,181310.3176
136,183220.4357
137,180784.672
138,43485.75803
139,39632.93599
140,-177820.7157
141,144102.0766
142,66197.57953
143,187364.8507
144,68133.2553
145,82110.89141
146,150329.9229
147,99717.99971
148,215866.0678
149,-174929.131
150,-154604.8069
151,-173317.0923
152,-153153.7634
153,-175596.7342
154,-179150.5281
155,-181914.887
156,-192688.297
157,-188013.2868
158,-128500.2048
159,-185925.7802
