,Predicted_Species
1,virginica
2,versicolor
3,setosa
4,setosa
5,virginica
6,setosa
7,virginica
8,virginica
9,setosa
10,setosa
11,setosa
12,virginica
13,versicolor
14,setosa
15,versicolor
16,virginica
17,versicolor
18,versicolor
19,setosa
20,versicolor
21,virginica
22,versicolor
23,virginica
24,virginica
25,virginica
26,setosa
27,setosa
28,setosa
29,virginica
30,virginica
31,virginica
32,setosa
33,versicolor
34,versicolor
35,setosa
36,versicolor
37,versicolor
38,setosa
39,virginica
40,virginica
41,virginica
42,virginica
43,versicolor
44,virginica
45,versicolor
46,setosa
47,virginica
48,setosa
49,virginica
50,virginica
51,versicolor
52,versicolor
53,setosa
54,virginica
55,virginica
56,setosa
57,versicolor
58,virginica
59,setosa
60,versicolor
61,virginica
62,versicolor
63,versicolor
64,versicolor
65,virginica
66,setosa
67,versicolor
68,setosa
69,setosa
70,virginica
71,virginica
72,setosa
73,setosa
74,virginica
75,setosa
76,versicolor
77,virginica
78,versicolor
79,virginica
80,setosa
81,setosa
82,virginica
83,versicolor
84,versicolor
85,versicolor
86,virginica
87,setosa
88,versicolor
89,setosa
90,setosa
91,versicolor
92,versicolor
93,versicolor
94,virginica
95,versicolor
96,virginica
97,virginica
98,setosa
99,setosa
100,setosa
101,setosa
102,setosa
103,virginica
104,setosa
105,versicolor
106,setosa
107,virginica
108,versicolor
109,setosa
110,setosa
111,setosa
112,virginica
113,setosa
114,setosa
115,versicolor
116,setosa
117,setosa
118,virginica
119,setosa
120,versicolor
121,versicolor
122,versicolor
123,versicolor
124,virginica
125,versicolor
126,virginica
127,virginica
128,versicolor
129,virginica
130,versicolor
131,versicolor
132,setosa
133,versicolor
134,setosa
135,setosa
136,versicolor
137,virginica
138,versicolor
139,virginica
140,virginica
141,versicolor
142,versicolor
143,virginica
144,virginica
145,virginica
146,setosa
147,versicolor
148,setosa
149,virginica
150,versicolor
