,Predicted_Species
1,versicolor
2,setosa
3,versicolor
4,setosa
5,setosa
6,versicolor
7,virginica
8,versicolor
9,virginica
10,virginica
11,setosa
12,virginica
13,versicolor
14,versicolor
15,virginica
16,setosa
17,virginica
18,versicolor
19,setosa
20,virginica
21,versicolor
22,setosa
23,virginica
24,setosa
25,setosa
26,setosa
27,setosa
28,versicolor
29,versicolor
30,virginica
31,setosa
32,virginica
33,virginica
34,versicolor
35,virginica
36,virginica
37,setosa
38,setosa
39,versicolor
40,virginica
41,virginica
42,virginica
43,setosa
44,virginica
45,versicolor
46,setosa
47,setosa
48,versicolor
49,versicolor
50,virginica
51,setosa
52,virginica
53,setosa
54,setosa
55,virginica
56,virginica
57,versicolor
58,virginica
59,virginica
60,versicolor
61,versicolor
62,virginica
63,setosa
64,versicolor
65,versicolor
66,virginica
67,virginica
68,setosa
69,versicolor
70,versicolor
71,virginica
72,setosa
73,virginica
74,versicolor
75,setosa
76,virginica
77,versicolor
78,virginica
79,versicolor
80,setosa
81,virginica
82,virginica
83,setosa
84,virginica
85,setosa
86,setosa
87,versicolor
88,virginica
89,versicolor
90,virginica
91,versicolor
92,versicolor
93,versicolor
94,setosa
95,virginica
96,setosa
97,versicolor
98,versicolor
99,setosa
100,virginica
101,versicolor
102,virginica
103,virginica
104,setosa
105,versicolor
106,setosa
107,versicolor
108,versicolor
109,setosa
110,versicolor
111,setosa
112,virginica
113,versicolor
114,virginica
115,setosa
116,setosa
117,versicolor
118,setosa
119,versicolor
120,versicolor
121,versicolor
122,versicolor
123,virginica
124,virginica
125,virginica
126,versicolor
127,setosa
128,virginica
129,versicolor
130,versicolor
131,setosa
132,setosa
133,virginica
134,versicolor
135,setosa
136,setosa
137,setosa
138,setosa
139,virginica
140,setosa
141,setosa
142,virginica
143,setosa
144,versicolor
145,versicolor
146,versicolor
147,setosa
148,versicolor
149,setosa
150,virginica
