,Predicted_Species
1,setosa
2,virginica
3,setosa
4,setosa
5,setosa
6,setosa
7,virginica
8,virginica
9,virginica
10,virginica
11,virginica
12,setosa
13,virginica
14,setosa
15,virginica
16,virginica
17,virginica
18,virginica
19,setosa
20,virginica
21,virginica
22,setosa
23,setosa
24,setosa
25,setosa
26,virginica
27,setosa
28,versicolor
29,versicolor
30,setosa
31,virginica
32,versicolor
33,virginica
34,virginica
35,setosa
36,setosa
37,versicolor
38,virginica
39,setosa
40,virginica
41,virginica
42,virginica
43,virginica
44,setosa
45,setosa
46,setosa
47,setosa
48,virginica
49,setosa
50,setosa
51,setosa
52,virginica
53,setosa
54,virginica
55,setosa
56,versicolor
57,virginica
58,virginica
59,setosa
60,setosa
61,virginica
62,versicolor
63,virginica
64,versicolor
65,virginica
66,setosa
67,setosa
68,setosa
69,setosa
70,versicolor
71,setosa
72,virginica
73,virginica
74,virginica
75,virginica
76,virginica
77,setosa
78,virginica
79,setosa
80,virginica
81,virginica
82,setosa
83,versicolor
84,setosa
85,virginica
86,virginica
87,virginica
88,virginica
89,versicolor
90,virginica
91,setosa
92,setosa
93,virginica
94,versicolor
95,setosa
96,virginica
97,versicolor
98,virginica
99,versicolor
100,virginica
101,virginica
102,setosa
103,virginica
104,setosa
105,setosa
106,virginica
107,versicolor
108,virginica
109,virginica
110,virginica
111,setosa
112,virginica
113,setosa
114,setosa
115,versicolor
116,virginica
117,versicolor
118,virginica
119,versicolor
120,versicolor
121,virginica
122,setosa
123,versicolor
124,versicolor
125,versicolor
126,setosa
127,versicolor
128,virginica
129,versicolor
130,virginica
131,setosa
132,virginica
133,virginica
134,virginica
135,virginica
136,setosa
137,setosa
138,virginica
139,versicolor
140,setosa
141,versicolor
142,setosa
143,virginica
144,virginica
145,setosa
146,setosa
147,virginica
148,setosa
149,versicolor
150,setosa
