,Predicted_AverageOzoneReading
1,5.832637566
2,8.714464087
3,1.011995781
4,4.836160322
5,5.164212267
6,5.123184512
7,7.110376915
8,6.577253034
9,8.53296653
10,6.164936121
11,10.08074279
12,3.885723277
13,3.166111503
14,4.164803461
15,10.3935695
16,5.166960732
17,8.226111633
18,14.32926819
19,9.305437142
20,2.83559674
21,2.167565287
22,3.835491874
23,2.168199258
24,4.836669854
25,7.162231478
26,11.87271141
27,11.54800133
28,15.49063396
29,4.219501013
30,2.558187959
31,4.345034795
32,12.25817645
33,14.16268121
34,15.5835387
35,2.204092548
36,-3.4416055
37,-4.343747109
38,6.45215214
39,3.776827103
40,4.03756347
41,2.163381378
42,5.26899528
43,12.22232991
44,15.74691863
45,13.02278723
46,17.38440085
47,13.40075556
48,5.98304214
49,14.6587486
50,14.18245068
51,10.90095729
52,9.837023617
53,11.02220545
54,12.52398354
55,11.27986133
56,9.162762065
57,12.5723986
58,3.164936752
59,8.165061053
60,13.83032494
61,2.661946197
62,9.680903066
63,1.89116087
64,-0.174069811
65,6.380765255
66,3.472403253
67,15.00758762
68,21.16371719
69,17.83433347
70,6.631063153
71,12.19884053
72,11.25561454
73,6.831765027
74,5.442335789
75,16.09337274
76,21.83658759
77,12.96998065
78,8.180841008
79,11.32417108
80,16.70371161
81,22.64817299
82,23.79481113
83,24.1921373
84,23.70462672
85,9.831789619
86,10.69849098
87,16.16527239
88,15.74870776
89,12.77961729
90,9.834121233
91,9.920359281
92,4.165028818
93,3.933249828
94,11.16229943
95,24.57113512
96,22.3404396
97,14.83649463
98,16.32394224
99,22.1648424
100,17.64096334
101,16.68657939
102,17.5561502
103,20.865195
104,33.1683149
105,27.24545328
106,19.49065838
107,19.23486198
108,25.16765087
109,15.22994299
110,19.8003072
111,26.08321827
112,25.50029841
113,20.24166678
114,24.2654506
115,25.1667625
116,22.83801904
117,10.59296248
118,12.83174427
119,18.26924512
120,23.38906576
121,19.83801287
122,5.242519272
123,9.697372406
124,8.052301922
125,18.04269755
126,20.32033953
127,21.57167903
128,21.77809063
129,25.36891008
130,26.35689112
131,23.8354091
132,20.73793549
133,16.02707679
134,16.95752946
135,19.01419059
136,16.16899684
137,14.07535969
138,18.83625083
139,4.190287064
140,5.105189054
141,12.85548022
142,12.49563606
143,10.44066939
144,10.89731656
145,9.969992979
146,6.81944573
147,4.830545568
148,6.279941589
149,16.16548738
150,22.65775717
151,24.25732457
152,21.20357539
153,12.83311965
154,17.91032058
155,19.34549039
156,20.61564951
157,11.98603363
158,10.836212
159,14.83426469
160,12.14759455
161,11.19870496
162,7.512603563
163,6.941656777
164,6.81354525
165,8.869814967
166,18.44972848
167,15.01788659
168,16.68925789
169,13.9677599
170,8.490857251
171,0.525648869
172,9.948145861
173,9.321837799
174,12.37786903
175,13.49787392
176,13.89039807
177,16.63754191
178,16.06558213
179,15.9609234
180,5.015332194
181,5.581252248
182,10.91313243
183,9.285315078
184,9.980574735
185,13.4378564
186,11.24649796
187,10.7583687
188,11.08807817
189,7.252020087
190,9.498611849
191,5.761401033
192,10.23104061
193,10.17051653
194,4.926544781
195,4.196931493
196,8.033027709
197,3.719808308
198,4.898101892
199,5.635415684
200,11.03171026
201,6.350504538
202,5.725726111
203,5.5767021
