,Predicted_AverageOzoneReading
1,5.834045268
2,8.714541169
3,1.013894419
4,4.836806761
5,5.163826464
6,5.123495895
7,7.11024935
8,6.577397215
9,8.532074932
10,6.164492995
11,10.07948762
12,3.88398246
13,3.165251369
14,4.165586289
15,10.39348038
16,5.167414336
17,8.227010952
18,14.32830852
19,9.305874554
20,2.83756372
21,2.169586748
22,3.837378027
23,2.168823931
24,4.836250037
25,7.162595984
26,11.87292457
27,11.54810108
28,15.48995128
29,4.219973815
30,2.559197619
31,4.346921943
32,12.25804698
33,14.1633631
34,15.58318682
35,2.205292905
36,-3.43971048
37,-4.342934803
38,6.453372814
39,3.778471507
40,4.039081818
41,2.163794159
42,5.270357293
43,12.22257539
44,15.7463117
45,13.02443147
46,17.3841194
47,13.4007646
48,5.984131882
49,14.65800902
50,14.18305912
51,10.90063835
52,9.837737519
53,11.02279403
54,12.52494098
55,11.27965503
56,9.163657822
57,12.57237337
58,3.167229471
59,8.166984136
60,13.83208417
61,2.66382248
62,9.681133521
63,1.893016286
64,-0.171741101
65,6.38352269
66,3.473951574
67,15.00773661
68,21.16357949
69,17.83324287
70,6.632255383
71,12.19917852
72,11.25702894
73,6.833818044
74,5.444487516
75,16.0935737
76,21.83660599
77,12.9710795
78,8.18058184
79,11.32518051
80,16.70102124
81,22.64675352
82,23.7923388
83,24.18957416
84,23.70366381
85,9.831805952
86,10.69915112
87,16.16418884
88,15.74743285
89,12.78044891
90,9.83674208
91,9.922121877
92,4.166460352
93,3.933151497
94,11.16286739
95,24.57055146
96,22.33990983
97,14.83784439
98,16.32412397
99,22.16354921
100,17.64005973
101,16.68610439
102,17.55581995
103,20.86420717
104,33.16492965
105,27.24203742
106,19.48870613
107,19.23302034
108,25.16585256
109,15.22923784
110,19.79830648
111,26.08120004
112,25.49634225
113,20.23979719
114,24.26382812
115,25.16481882
116,22.8363749
117,10.59211115
118,12.83112153
119,18.26811231
120,23.38776367
121,19.83725338
122,5.244128603
123,9.697917468
124,8.052100973
125,18.04215459
126,20.31985948
127,21.56990887
128,21.77724263
129,25.36716223
130,26.35564042
131,23.833226
132,20.73524795
133,16.02462113
134,16.95425019
135,19.01390234
136,16.16742291
137,14.07322682
138,18.83543725
139,4.189389056
140,5.104758541
141,12.85310787
142,12.49322664
143,10.43916666
144,10.89665633
145,9.969781326
146,6.818584654
147,4.830740824
148,6.27912244
149,16.16418553
150,22.65608601
151,24.25425769
152,21.20207656
153,12.83076963
154,17.90853034
155,19.34284698
156,20.6141383
157,11.98422641
158,10.83404238
159,14.83256777
160,12.14547003
161,11.19590669
162,7.510489812
163,6.940395659
164,6.812786367
165,8.868891862
166,18.44692574
167,15.01691905
168,16.68871506
169,13.96557271
170,8.490847692
171,0.526116573
172,9.946815666
173,9.322203858
174,12.37626269
175,13.49647648
176,13.88985672
177,16.63538501
178,16.06498639
179,15.95958603
180,5.017060443
181,5.580960515
182,10.91383023
183,9.283723427
184,9.978443099
185,13.43591774
186,11.2455929
187,10.75940141
188,11.08822327
189,7.251104181
190,9.496675401
191,5.761005392
192,10.23195481
193,10.16976359
194,4.926867086
195,4.196863635
196,8.032461007
197,3.719237066
198,4.897002548
199,5.636042347
200,11.0317582
201,6.351337395
202,5.726126963
203,5.577448532
