,Predicted_AverageOzoneReading
1,6.125071689
2,6.836950051
3,4.835755314
4,4.836894496
5,5.703941134
6,6.835345004
7,5.833184599
8,4.832739965
9,4.833754163
10,6.540859468
11,5.352199467
12,4.831983518
13,4.837661912
14,5.832320257
15,6.836462822
16,6.834707892
17,10.16627104
18,12.83519572
19,8.165725429
20,2.832538784
21,2.162199603
22,3.831449352
23,3.834083682
24,4.04358237
25,7.162097833
26,6.833568179
27,10.16845011
28,13.83745422
29,5.665674656
30,4.835095217
31,5.763851314
32,10.83534833
33,13.89255137
34,14.45965533
35,2.431013311
36,3.834289223
37,3.832971087
38,4.832343938
39,6.164351945
40,5.181979202
41,3.834848761
42,2.832396339
43,8.507919161
44,15.16699836
45,12.80663471
46,17.65433516
47,12.16372949
48,7.519924536
49,9.834059983
50,10.7733183
51,11.70346389
52,9.835442318
53,8.649457329
54,10.87097531
55,11.16789409
56,8.837515258
57,10.48889899
58,4.319311102
59,8.163038426
60,12.16367307
61,4.465183211
62,8.978003358
63,4.19360503
64,4.834953452
65,6.995274368
66,3.603190112
67,14.16520091
68,19.51889557
69,16.6129238
70,6.482518455
71,10.83515635
72,11.16522672
73,6.208025169
74,8.165064589
75,16.27545735
76,21.83765392
77,11.66275527
78,2.835355331
79,11.16607557
80,19.16405957
81,25.41983515
82,26.30413669
83,25.83359787
84,24.67855157
85,8.458224368
86,7.380616021
87,16.16297473
88,13.99756297
89,12.90482694
90,9.500847305
91,8.270402731
92,5.733531191
93,2.832031158
94,9.834694053
95,23.38872749
96,26.16691511
97,14.83333321
98,16.57676094
99,22.82177282
100,16.38334799
101,19.16654302
102,15.83710044
103,17.16373772
104,30.4848115
105,23.16696232
106,15.49300034
107,15.11987887
108,18.84570087
109,18.1469388
110,21.14503926
111,27.06532681
112,24.32686581
113,22.16430647
114,25.14223827
115,25.16653232
116,21.37264618
117,9.02862288
118,11.1653606
119,18.2597075
120,24.0565035
121,19.83809056
122,4.835731039
123,7.2543186
124,8.61164957
125,16.20284075
126,22.83426654
127,23.16522128
128,23.0574638
129,27.0558122
130,27.07819197
131,23.39620783
132,22.7291879
133,19.52940758
134,19.87487964
135,22.61446828
136,18.41313935
137,18.59648814
138,19.82414882
139,4.73063733
140,8.164292756
141,15.53229291
142,13.83206719
143,11.77511582
144,11.92863813
145,11.16529507
146,5.836235337
147,4.867319538
148,5.83603291
149,19.14048961
150,23.09921396
151,25.40523402
152,19.84771378
153,11.16498567
154,17.34429318
155,24.48338021
156,21.7527749
157,15.99359886
158,9.740201557
159,16.32953814
160,9.836192242
161,11.16465221
162,7.286557956
163,6.885313191
164,6.966183407
165,11.98507435
166,11.4275575
167,7.551928377
168,15.68980677
169,14.24813501
170,6.931874228
171,4.110355825
172,9.981711411
173,8.652094959
174,9.464711648
175,11.61114132
176,15.47062775
177,15.63952606
178,15.72659753
179,15.88355353
180,7.160798991
181,5.546366063
182,8.603509939
183,6.678182018
184,7.064460712
185,9.982317849
186,6.075844858
187,8.067573725
188,8.296315063
189,8.20618028
190,8.711367578
191,7.479379472
192,8.229244719
193,6.750113382
194,7.237914094
195,7.735080716
196,7.517776883
197,6.714586128
198,6.426379176
199,7.832291147
200,9.557165897
201,8.037728525
202,7.633394614
203,4.24259161
