,Predicted_TipAmount
1,2.816147463
2,1.992810629
3,3.241266468
4,3.487637958
5,3.83746433
6,3.808087863
7,1.743075956
8,3.994127674
9,2.476704645
10,2.446283041
11,1.918585212
12,5.085920168
13,2.52116699
14,3.005425534
15,2.563414135
16,3.241925
17,2.102921354
18,2.688997344
19,2.879842325
20,3.08161457
21,2.696152739
22,3.084738149
23,2.555870259
24,5.343855375
25,2.918464463
26,2.815352032
27,2.163774664
28,2.084210468
29,3.138436064
30,3.0098542
31,1.716811093
32,2.878535364
33,2.472795878
34,3.263610589
35,2.679771876
36,3.480605611
37,2.573807791
38,2.757632402
39,2.852282476
40,4.3242201
41,2.542216125
42,2.759859577
43,2.347997857
44,1.849551571
45,4.405989394
46,2.856974699
47,3.31797901
48,4.640001735
49,4.123492993
50,2.827723156
51,2.184189219
52,2.032206121
53,5.033267391
54,1.879973176
55,3.839679529
56,2.997382103
57,5.189626286
58,3.800815912
59,1.925301132
60,6.379359983
61,2.984206975
62,2.22600699
63,1.899559775
64,2.882264605
65,2.723575689
66,3.014921053
67,2.635434455
68,1.01460652
69,2.966436993
70,2.366414395
71,2.005816334
72,2.774013266
73,3.8642183
74,3.679348551
75,2.434183842
76,1.829137017
77,2.706902351
78,3.786955387
79,3.135378019
80,2.495354267
81,2.757667145
82,2.42164038
83,1.695815517
84,4.306828841
85,2.342076184
86,4.790993253
87,1.996907981
88,2.611190376
89,3.363540052
90,2.948168146
91,4.011830155
92,3.242880559
93,1.406227664
94,2.642982885
95,3.38458295
96,5.454369235
97,3.814089727
98,2.029745628
99,3.080461039
100,2.06930867
101,2.061462218
102,2.532997085
103,5.970840898
104,3.344710904
105,3.158452037
106,2.407366555
107,3.007608209
108,3.559877333
109,2.733594714
110,2.395790861
111,2.237488551
112,1.492942701
113,5.237391736
114,3.519229624
115,3.902476255
116,2.853589438
117,4.350996494
118,1.829714081
119,2.037985064
120,3.533176921
121,1.840119712
122,2.153821173
123,2.14082557
124,2.338565998
125,2.043835373
126,4.334522187
127,1.469210152
128,2.282527961
129,1.915128585
130,3.208433375
131,2.704795312
132,2.955313441
133,1.89055729
134,2.018094015
135,2.720131038
136,1.579320876
137,1.792272107
138,2.239235678
139,2.355165918
140,2.123399569
141,2.627696163
142,4.749769168
143,5.489906697
144,4.012755218
145,2.506009746
146,1.560599889
147,2.830628368
148,1.972461609
149,1.616637927
150,1.35103392
151,2.36320866
152,2.253222859
153,2.802493329
154,3.721503297
155,3.162213802
156,4.518951772
157,6.617259014
158,3.885436859
159,2.39492525
160,2.778433563
161,3.364634477
162,2.198229959
163,2.790917636
164,2.332787055
165,2.887740283
166,3.651958126
167,3.14597994
168,4.559267477
169,1.960527907
170,1.965208154
171,6.621270282
172,2.460019331
173,1.575976189
174,4.454327981
175,2.69572524
176,4.57718446
177,2.820921842
178,2.421930801
179,1.962221475
180,4.779605135
181,4.91401523
182,3.457435409
183,6.099946268
184,3.570784393
185,5.472281664
186,3.335894465
187,3.350426187
188,4.489794361
189,3.028659218
190,3.496558976
191,2.563508267
192,2.912240214
193,3.810722679
194,2.29432271
195,2.423029497
196,1.356884229
197,1.692910994
198,5.770553956
199,2.115428193
200,2.063820554
201,2.738287626
202,2.085006589
203,2.115428193
204,2.513249172
205,3.017273842
206,2.58747459
207,3.787380834
208,5.273870729
209,3.449891533
210,2.214431297
211,4.193392245
212,3.7715115
213,6.386380354
214,2.274104444
215,4.083531369
216,2.230812161
217,4.101980431
218,1.966253292
219,1.515779536
220,4.380068511
221,1.975409327
222,2.234117888
223,1.490492251
224,2.588939058
225,2.122837102
226,2.567585473
227,1.84448734
228,3.124248322
229,2.153244109
230,3.309609053
231,3.5515399
232,2.512013576
233,1.957843804
234,1.859558621
235,2.427257603
236,1.777654302
237,2.084429524
238,4.451464352
239,4.969049023
240,4.062126279
241,3.901660275
242,3.26268166
243,2.684452122
244,2.85052135
