,Predicted_TipAmount
1,2.81550276
2,1.992422125
3,3.240876596
4,3.486895597
5,3.837522945
6,3.808049589
7,1.742335506
8,3.994089196
9,2.475963392
10,2.445541821
11,1.91784457
12,5.085977416
13,2.520425688
14,3.005388139
15,2.562769708
16,3.241182908
17,2.10262965
18,2.688608076
19,2.87954977
20,3.082085175
21,2.696271547
22,3.084953453
23,2.556086142
24,5.34467572
25,2.918583028
26,2.816175146
27,2.163894055
28,2.084329946
29,3.138554387
30,3.010069586
31,1.716930973
32,2.879358409
33,2.473011852
34,3.264530134
35,2.679890701
36,3.481075779
37,2.574278951
38,2.758200283
39,2.852753332
40,4.324689344
41,2.54268732
42,2.759118014
43,2.347256745
44,1.848811005
45,4.405950465
46,2.856233029
47,3.317236836
48,4.639962549
49,4.123102155
50,2.826981518
51,2.183448286
52,2.031562276
53,5.033324697
54,1.879232576
55,3.83964122
56,2.99664028
57,5.190462656
58,3.801030432
59,1.92543664
60,6.380179194
61,2.984341323
62,2.226142169
63,1.899695311
64,2.883103502
65,2.724046685
66,3.01539173
67,2.635650251
68,1.014487728
69,2.966555505
70,2.36654942
71,2.005935898
72,2.774581129
73,3.864448606
74,3.679579059
75,2.434399858
76,1.829256774
77,2.707037003
78,3.78713228
79,3.134851189
80,2.494828138
81,2.757156584
82,2.421114331
83,1.695034966
84,4.306316584
85,2.341550222
86,4.791265968
87,1.996382397
88,2.610664119
89,3.363012971
90,2.947641521
91,4.011353712
92,3.242389103
93,1.405850996
94,2.642604863
95,3.384188259
96,5.454595649
97,3.813613501
98,2.029271356
99,3.079985616
100,2.068818499
101,2.061084833
102,2.532619183
103,5.971421116
104,3.344941779
105,3.15866726
106,2.407501534
107,3.007742531
108,3.560011051
109,2.733713481
110,2.396022776
111,2.237607862
112,1.49280753
113,5.236999677
114,3.518487228
115,3.90218258
116,2.852944693
117,4.350957625
118,1.829285602
119,2.037556357
120,3.533451014
121,1.839594301
122,2.153392339
123,2.140299829
124,2.338040041
125,2.04340666
126,4.335499839
127,1.468685147
128,2.282098986
129,1.914700013
130,3.208258683
131,2.704268953
132,2.954883729
133,1.890128744
134,2.01766533
135,2.719701584
136,1.578892672
137,1.791843669
138,2.23880675
139,2.354655798
140,2.122970768
141,2.627266811
142,4.750649444
143,5.490433944
144,4.013733223
145,2.505580527
146,1.560171705
147,2.830551012
148,1.972032974
149,1.61611276
150,1.350509044
151,2.362467531
152,2.252481851
153,2.802103937
154,3.721465117
155,3.162176235
156,4.519361859
157,6.6179221
158,3.885495422
159,2.394281007
160,2.778396416
161,3.364596688
162,2.197489011
163,2.790625178
164,2.33204596
165,2.887111357
166,3.651567804
167,3.145237954
168,4.55922838
169,1.960760298
170,1.96544054
171,6.621752865
172,2.460154253
173,1.575251778
174,4.453600418
175,2.694999602
176,4.576456762
177,2.820196068
178,2.421205463
179,1.961593562
180,4.778877215
181,4.9139916
182,3.456708938
183,6.099569121
184,3.570762234
185,5.471552986
186,3.336208926
187,3.350148972
188,4.490123414
189,3.028382356
190,3.49618468
191,2.562782774
192,2.911826405
193,3.810210964
194,2.293812656
195,2.422519303
196,1.356359346
197,1.692401599
198,5.770841454
199,2.115015257
200,2.063310753
201,2.738129305
202,2.084593686
203,2.115015257
204,2.512835801
205,3.017467433
206,2.587413355
207,3.787866521
208,5.274707006
209,3.450025371
210,2.21466341
211,4.193877488
212,3.772349423
213,6.387199557
214,2.274336492
215,4.084113653
216,2.231044256
217,4.103170211
218,1.966388755
219,1.515915492
220,4.381002689
221,1.974917369
222,2.233722567
223,1.489648605
224,2.588879712
225,2.122344982
226,2.567189788
227,1.844092447
228,3.125071098
229,2.153363511
230,3.309839966
231,3.552378064
232,2.51250066
233,1.95796342
234,1.859678345
235,2.427392562
236,1.777774115
237,2.084564858
238,4.451597093
239,4.969614482
240,4.062595809
241,3.90189054
242,3.262815704
243,2.684570943
244,2.850109499
