,Predicted_TipAmount
1,3.115942998
2,1.795492912
3,3.174582464
4,3.44521076
5,3.813017807
6,4.163097492
7,1.784409987
8,4.401466823
9,2.446494769
10,2.410500653
11,1.888918333
12,5.08418325
13,2.499564595
14,2.994866705
15,2.885556487
16,3.280440836
17,2.155409984
18,2.459203829
19,2.792627892
20,3.123656386
21,3.046776555
22,3.097886802
23,2.497922219
24,5.927211713
25,3.413233604
26,2.474647746
27,2.135337582
28,2.011929826
29,3.733162544
30,3.028237174
31,1.54728882
32,2.552845586
33,2.387447819
34,2.863228971
35,3.018637492
36,3.751058001
37,2.31939237
38,2.752398268
39,2.750543405
40,4.745940717
41,2.273540563
42,2.785924157
43,2.29678414
44,1.842742089
45,4.822573786
46,2.898588987
47,3.338904293
48,4.988795998
49,3.950373635
50,2.865102405
51,2.120477827
52,2.414181628
53,5.065580492
54,1.86230471
55,4.205342115
56,3.052126066
57,4.65288584
58,3.448697236
59,1.743352137
60,6.024824392
61,3.410968378
62,2.159224629
63,1.71342535
64,3.376666299
65,2.546274251
66,3.014835068
67,2.601240735
68,1.135171617
69,3.487270225
70,2.385109218
71,1.897074366
72,2.767766166
73,3.668141067
74,3.688222047
75,2.335518077
76,1.667977474
77,2.963768157
78,3.864584435
79,3.224371329
80,2.575625357
81,2.865045237
82,2.498979809
83,1.964632184
84,3.90523436
85,2.417820406
86,4.727215522
87,2.101239578
88,2.697561696
89,3.418140412
90,3.045955012
91,3.804486115
92,3.364815306
93,1.720975381
94,3.144501399
95,3.385109363
96,4.594732992
97,3.754861127
98,1.634806564
99,3.135335459
100,1.635217503
101,2.365301393
102,3.002812496
103,3.36279547
104,3.614527742
105,3.160434867
106,2.453369924
107,3.445910468
108,4.070603894
109,3.110644385
110,2.62188583
111,2.25481071
112,1.135044893
113,4.134193958
114,3.461229381
115,3.7816691
116,3.148144612
117,4.775728227
118,1.686361508
119,1.885880489
120,3.054700286
121,1.986367768
122,2.012399965
123,2.22439792
124,2.414287838
125,1.892040117
126,4.538549045
127,1.815749633
128,2.162136765
129,1.763196476
130,2.766116132
131,2.796225043
132,2.965202997
133,1.740328905
134,1.865139875
135,2.695615639
136,1.509566624
137,1.655134399
138,2.110906025
139,2.429756851
140,1.978299854
141,2.583910602
142,5.110396504
143,5.134732588
144,4.425032135
145,2.434534388
146,1.499572148
147,2.17798778
148,1.818795242
149,1.865010997
150,1.794976949
151,2.314073654
152,2.192327017
153,2.604955903
154,4.044112281
155,3.219429434
156,5.005391698
157,4.864936093
158,3.88443804
159,2.727452435
160,2.697677855
161,3.52089128
162,2.134763903
163,2.701752848
164,2.279626881
165,3.384055976
166,3.622851476
167,3.197760519
168,4.937453203
169,2.01172554
170,2.017788849
171,4.90221048
172,2.54221168
173,1.887314158
174,3.314318243
175,2.63190913
176,3.275643996
177,2.763199032
178,2.350750704
179,2.672069702
180,3.213703218
181,4.102084514
182,3.291738271
183,3.634328007
184,4.03136467
185,3.134318415
186,4.060913802
187,3.634707461
188,4.232477772
189,3.421889872
190,3.725274602
191,2.493378347
192,3.523926374
193,3.74416549
194,2.367866982
195,2.500736102
196,1.795609456
197,1.910646324
198,4.25717003
199,2.603401256
200,2.154243329
201,2.659903728
202,2.56760662
203,2.603401256
204,3.086459758
205,3.220713969
206,2.748174305
207,4.227451459
208,4.689319928
209,3.980488734
210,2.360803274
211,4.390677441
212,4.039366011
213,6.021957583
214,2.44654345
215,3.750931996
216,2.38427627
217,4.059794184
218,1.793022546
219,1.400182924
220,3.758925068
221,1.911993918
222,2.711025343
223,1.979582363
224,2.201681318
225,2.052573867
226,3.118722953
227,2.261917779
228,2.894198127
229,2.118649244
230,3.597690183
231,3.898638145
232,2.792723239
233,1.830538452
234,1.70417303
235,2.486807327
236,1.610070151
237,1.949542868
238,4.238772917
239,3.978914119
240,4.49485083
241,3.659651719
242,3.786177742
243,3.026688416
244,2.902953428
