,Predicted_TipAmount
1,7.658629135
2,13.87306503
3,8.101539486
4,21.58353387
5,12.81786588
6,-30.45884581
7,-8.215113901
8,-38.4283152
9,8.045286576
10,7.134816915
11,-5.046741426
12,-29.96532749
13,9.41737189
14,3.428092713
15,-0.001511339
16,23.29210831
17,12.5799467
18,18.79581468
19,30.54560403
20,12.35467357
21,13.0742588
22,5.429220397
23,-15.48078942
24,-64.57505332
25,17.81806463
26,7.434387417
27,-5.341752828
28,-8.583649515
29,20.58898011
30,3.089487103
31,-20.66878472
32,5.443893398
33,-19.15918938
34,36.65145153
35,12.66243874
36,1.187778805
37,18.50843803
38,27.93305749
39,16.39569502
40,-31.15068948
41,18.50807555
42,16.85383633
43,4.381119248
44,-6.32638589
45,-54.86094916
46,19.3521063
47,23.05841113
48,-62.95432276
49,-24.98761705
50,18.65681001
51,0.396722652
52,-15.45833069
53,-28.84114646
54,-5.768160827
55,-31.8257164
56,21.8975568
57,-63.56654041
58,16.39763231
59,-6.887978499
60,-65.81443212
61,19.41217366
62,3.581585036
63,-7.852527539
64,6.746649003
65,17.80278363
66,13.72011688
67,-11.87327118
68,-41.34535991
69,18.61336748
70,7.515995079
71,-11.6183492
72,28.17494722
73,16.77193725
74,16.74102254
75,-20.80163743
76,-17.57029974
77,14.80608826
78,-8.841355827
79,23.16776833
80,11.49919177
81,19.94917162
82,8.950404994
83,-34.02572419
84,17.67275737
85,5.996148128
86,2.820031079
87,-6.948891846
88,15.02074646
89,23.17798492
90,21.69033624
91,13.50967062
92,22.71455033
93,-39.65282632
94,-6.168908873
95,17.19759224
96,-76.0974027
97,18.34363357
98,-5.916747617
99,22.39428049
100,-10.56745186
101,-28.79191482
102,-10.89461876
103,-38.75811561
104,13.16648985
105,7.532211791
106,8.537319103
107,19.72121961
108,20.56616722
109,13.98342329
110,-15.69411544
111,-2.292932428
112,-38.6030382
113,-67.4538374
114,21.17278706
115,13.90876177
116,8.796407221
117,-52.80584386
118,-37.57721123
119,-32.24393128
120,27.88439768
121,-12.10939497
122,-28.29140678
123,-1.748287354
124,5.86236166
125,-32.06121583
126,26.33049478
127,-22.17874479
128,-23.14381421
129,-35.65970367
130,14.59226215
131,17.40126556
132,8.768847568
133,-36.24831838
134,-32.85145218
135,-2.08712203
136,-41.36382558
137,-38.30785428
138,-24.95435747
139,11.41666463
140,-29.39644903
141,-6.756475654
142,-22.45280225
143,-44.38606789
144,32.71243428
145,-12.83597518
146,-41.55468546
147,28.47952076
148,-34.16516568
149,-18.578939
150,-24.63553505
151,4.787873794
152,1.995831348
153,17.67366529
154,-26.69365743
155,-2.69636208
156,-8.360584148
157,-34.94416134
158,10.8387915
159,-5.194009936
160,11.21834696
161,-11.16106756
162,0.71396669
163,29.64956768
164,3.981330055
165,12.08245316
166,-6.07538582
167,23.16386236
168,-60.29090437
169,-31.37105534
170,-31.23867913
171,-73.34502609
172,9.776081415
173,-9.770755153
174,1.080389655
175,17.35151376
176,-3.453432011
177,20.08727286
178,10.35719202
179,-16.86849989
180,-11.30272704
181,-68.78209225
182,23.39782804
183,-83.93284665
184,-16.91232567
185,-37.89914928
186,-14.9159116
187,23.05550623
188,-62.25138415
189,25.95965031
190,3.910512448
191,14.0649149
192,10.23430277
193,24.07669043
194,9.738032308
195,13.15826939
196,-24.52291929
197,-11.51456808
198,-18.75509939
199,-24.09569844
200,2.287323597
201,22.86263651
202,-25.34351887
203,-24.09569844
204,-5.595562111
205,15.98133837
206,24.48562287
207,-4.882617619
208,-64.85727488
209,21.37919116
210,-22.95551374
211,-19.72586445
212,-24.34688252
213,-65.7901167
214,-20.64112026
215,9.681182566
216,-22.33034419
217,-43.41588774
218,-5.356042839
219,-20.36271315
220,-7.564939361
221,-4.86504865
222,-22.42382956
223,-29.72301976
224,22.33021738
225,0.999109072
226,-7.806520848
227,-35.19494201
228,-3.261141283
229,-5.776376859
230,12.55578351
231,-16.03354547
232,19.08959265
233,-13.36450128
234,-16.64047251
235,9.014647504
236,-19.05463264
237,-1.065951098
238,-0.171206623
239,-16.08226176
240,-20.9938636
241,16.62861966
242,21.68578972
243,12.78099087
244,-0.350039631
