,Predicted_Type
1,3
2,2
3,3
4,2
5,2
6,2
7,1
8,2
9,3
10,1
11,2
12,1
13,2
14,1
15,3
16,2
17,3
18,3
19,3
20,2
21,2
22,2
23,2
24,2
25,3
26,2
27,3
28,3
29,1
30,1
31,2
32,1
33,3
34,1
35,2
36,2
37,3
38,3
39,2
40,3
41,2
42,1
43,1
44,2
45,1
46,2
47,3
48,1
49,3
50,3
51,2
52,1
53,1
54,2
55,2
56,3
57,1
58,1
59,1
60,1
61,3
62,1
63,1
64,1
65,1
66,3
67,3
68,3
69,1
70,2
71,3
72,3
73,2
74,3
75,2
76,2
77,2
78,2
79,1
80,1
81,1
82,2
83,1
84,2
85,1
86,3
87,1
88,3
89,2
90,3
91,1
92,3
93,3
94,2
95,3
96,2
97,1
98,2
99,1
100,2
101,2
102,1
103,3
104,1
105,2
106,2
107,3
108,1
109,2
110,2
111,1
112,2
113,1
114,2
115,3
116,3
117,2
118,3
119,3
120,1
121,2
122,1
123,2
124,2
125,2
126,3
127,2
128,3
129,2
130,1
131,2
132,3
133,2
134,2
135,1
136,1
137,2
138,3
139,1
140,1
141,3
142,1
143,2
144,1
145,2
146,2
147,1
148,1
149,1
150,1
151,3
152,1
153,2
154,2
155,2
156,2
157,1
158,3
159,1
160,3
161,3
162,1
163,3
164,3
165,2
166,1
167,3
168,2
169,1
170,3
171,1
172,2
173,2
174,3
175,1
176,1
177,1
178,2
