,Predicted_Type
1,2
2,1
3,3
4,2
5,3
6,3
7,1
8,3
9,2
10,1
11,1
12,1
13,3
14,2
15,1
16,2
17,3
18,2
19,2
20,1
21,3
22,1
23,3
24,3
25,3
26,2
27,1
28,3
29,1
30,1
31,3
32,3
33,2
34,2
35,1
36,1
37,2
38,3
39,1
40,3
41,3
42,3
43,2
44,2
45,1
46,1
47,1
48,1
49,2
50,1
51,3
52,2
53,3
54,1
55,2
56,3
57,1
58,1
59,1
60,1
61,2
62,2
63,3
64,2
65,1
66,2
67,2
68,3
69,3
70,3
71,2
72,3
73,2
74,1
75,1
76,3
77,1
78,1
79,2
80,2
81,1
82,2
83,3
84,2
85,2
86,3
87,2
88,2
89,2
90,3
91,1
92,3
93,2
94,3
95,1
96,2
97,1
98,2
99,2
100,3
101,3
102,3
103,3
104,2
105,1
106,1
107,2
108,1
109,2
110,2
111,2
112,3
113,2
114,2
115,1
116,2
117,1
118,1
119,2
120,2
121,2
122,3
123,1
124,1
125,2
126,3
127,2
128,1
129,1
130,1
131,2
132,3
133,1
134,2
135,2
136,3
137,3
138,3
139,2
140,3
141,2
142,2
143,3
144,1
145,2
146,2
147,3
148,1
149,2
150,1
151,2
152,2
153,1
154,1
155,2
156,1
157,1
158,1
159,2
160,2
161,1
162,1
163,2
164,1
165,3
166,1
167,2
168,1
169,1
170,2
171,3
172,2
173,2
174,2
175,2
176,3
177,2
178,1
