,Predicted_Type
1,1
2,1
3,1
4,3
5,1
6,1
7,3
8,2
9,1
10,1
11,2
12,2
13,2
14,1
15,2
16,3
17,2
18,1
19,3
20,2
21,1
22,3
23,3
24,1
25,1
26,3
27,3
28,3
29,2
30,2
31,3
32,3
33,3
34,2
35,1
36,2
37,3
38,3
39,1
40,3
41,2
42,2
43,2
44,2
45,2
46,1
47,2
48,1
49,3
50,3
51,2
52,3
53,1
54,3
55,2
56,1
57,1
58,3
59,2
60,1
61,2
62,1
63,3
64,3
65,1
66,1
67,3
68,2
69,2
70,3
71,3
72,3
73,2
74,3
75,2
76,2
77,1
78,3
79,2
80,3
81,1
82,2
83,2
84,1
85,1
86,2
87,1
88,2
89,2
90,1
91,2
92,2
93,1
94,2
95,1
96,1
97,1
98,2
99,1
100,1
101,2
102,3
103,2
104,2
105,3
106,3
107,2
108,1
109,1
110,3
111,2
112,2
113,2
114,3
115,3
116,3
117,2
118,1
119,2
120,2
121,2
122,3
123,2
124,1
125,1
126,2
127,1
128,3
129,2
130,1
131,3
132,2
133,1
134,2
135,1
136,2
137,1
138,3
139,1
140,1
141,2
142,1
143,2
144,2
145,2
146,3
147,2
148,2
149,1
150,2
151,1
152,3
153,2
154,3
155,3
156,1
157,2
158,1
159,2
160,2
161,1
162,3
163,1
164,2
165,3
166,1
167,2
168,2
169,3
170,2
171,2
172,3
173,2
174,1
175,1
176,3
177,1
178,1
