,Predicted_Type
1,1
2,2
3,1
4,2
5,1
6,1
7,3
8,3
9,2
10,1
11,3
12,2
13,2
14,2
15,1
16,1
17,1
18,3
19,2
20,3
21,1
22,1
23,2
24,3
25,3
26,1
27,2
28,1
29,2
30,3
31,3
32,1
33,3
34,2
35,1
36,3
37,2
38,1
39,1
40,2
41,2
42,2
43,2
44,2
45,3
46,3
47,3
48,2
49,2
50,1
51,2
52,2
53,1
54,2
55,2
56,1
57,2
58,2
59,3
60,1
61,1
62,2
63,3
64,1
65,1
66,2
67,3
68,2
69,2
70,2
71,1
72,3
73,2
74,2
75,3
76,2
77,1
78,2
79,2
80,3
81,2
82,1
83,1
84,3
85,3
86,2
87,3
88,2
89,1
90,3
91,2
92,3
93,2
94,2
95,1
96,1
97,3
98,1
99,2
100,2
101,1
102,1
103,1
104,2
105,3
106,3
107,1
108,1
109,2
110,2
111,2
112,2
113,1
114,1
115,1
116,2
117,3
118,3
119,3
120,2
121,2
122,2
123,3
124,2
125,2
126,2
127,1
128,1
129,2
130,2
131,2
132,2
133,1
134,3
135,1
136,2
137,2
138,1
139,2
140,2
141,3
142,2
143,3
144,2
145,1
146,2
147,3
148,1
149,1
150,2
151,1
152,2
153,1
154,2
155,2
156,1
157,2
158,1
159,3
160,3
161,2
162,2
163,1
164,3
165,3
166,2
167,2
168,1
169,1
170,2
171,3
172,2
173,1
174,3
175,2
176,2
177,1
178,3
