,Predicted_censored,CensoredProbability,NonCensoredProbability
1,0,0.854545455,0.145454545
2,0,0.854545455,0.145454545
3,1,0.323529412,0.676470588
4,0,0.854545455,0.145454545
5,1,0.19047619,0.80952381
6,1,0.090225564,0.909774436
7,0,0.854545455,0.145454545
8,0,0.854545455,0.145454545
9,1,0.090225564,0.909774436
10,0,0.854545455,0.145454545
11,1,0.090225564,0.909774436
12,1,0.090225564,0.909774436
13,0,0.854545455,0.145454545
14,0,0.854545455,0.145454545
15,0,0.854545455,0.145454545
16,0,0.69047619,0.30952381
17,1,0.2,0.8
18,0,0.854545455,0.145454545
19,0,0.854545455,0.145454545
20,1,0.323529412,0.676470588
21,0,0.854545455,0.145454545
22,0,0.854545455,0.145454545
23,0,0.854545455,0.145454545
24,0,0.854545455,0.145454545
25,1,0.090225564,0.909774436
26,0,0.69047619,0.30952381
27,1,0.090225564,0.909774436
28,1,0.2,0.8
29,0,0.69047619,0.30952381
30,0,0.69047619,0.30952381
31,0,0.785714286,0.214285714
32,0,0.785714286,0.214285714
33,0,0.888888889,0.111111111
34,0,0.785714286,0.214285714
35,1,0.2,0.8
36,0,0.69047619,0.30952381
37,1,0.323529412,0.676470588
38,0,0.7,0.3
39,0,0.69047619,0.30952381
40,0,0.888888889,0.111111111
41,0,0.7,0.3
42,0,0.7,0.3
43,1,0.090225564,0.909774436
44,0,0.69047619,0.30952381
45,0,0.69047619,0.30952381
46,0,0.854545455,0.145454545
47,0,0.854545455,0.145454545
48,1,0.090225564,0.909774436
49,0,0.854545455,0.145454545
50,1,0.323529412,0.676470588
51,1,0.19047619,0.80952381
52,0,0.854545455,0.145454545
53,1,0.19047619,0.80952381
54,1,0.090225564,0.909774436
55,1,0.090225564,0.909774436
56,0,0.69047619,0.30952381
57,0,0.854545455,0.145454545
58,0,0.854545455,0.145454545
59,0,0.854545455,0.145454545
60,0,0.854545455,0.145454545
61,1,0.090225564,0.909774436
62,0,0.854545455,0.145454545
63,1,0.090225564,0.909774436
64,0,0.854545455,0.145454545
65,0,0.854545455,0.145454545
66,1,0.090225564,0.909774436
67,1,0.090225564,0.909774436
68,1,0.090225564,0.909774436
69,1,0.090225564,0.909774436
70,1,0.090225564,0.909774436
71,1,0.090225564,0.909774436
72,0,0.854545455,0.145454545
73,1,0.323529412,0.676470588
74,1,0.090225564,0.909774436
75,1,0.090225564,0.909774436
76,1,0,1
77,0,0.69047619,0.30952381
78,1,0.090225564,0.909774436
79,1,0.090225564,0.909774436
80,0,0.69047619,0.30952381
81,1,0.090225564,0.909774436
82,0,0.785714286,0.214285714
83,1,0.090225564,0.909774436
84,0,0.7,0.3
85,0,0.714285714,0.285714286
86,0,0.69047619,0.30952381
87,0,0.69047619,0.30952381
88,1,0.090225564,0.909774436
89,1,0.090225564,0.909774436
90,0,0.69047619,0.30952381
91,1,0.090225564,0.909774436
92,0,0.854545455,0.145454545
93,0,0.854545455,0.145454545
94,0,0.854545455,0.145454545
95,0,0.611111111,0.388888889
96,0,0.854545455,0.145454545
97,1,0.090225564,0.909774436
98,1,0.090225564,0.909774436
99,1,0.2,0.8
100,0,0.854545455,0.145454545
101,1,0.2,0.8
102,0,0.854545455,0.145454545
103,0,0.7,0.3
104,0,0.7,0.3
105,1,0.090225564,0.909774436
106,0,0.7,0.3
107,0,0.888888889,0.111111111
108,0,0.7,0.3
109,0,0.854545455,0.145454545
110,0,0.854545455,0.145454545
111,0,0.611111111,0.388888889
112,0,0.69047619,0.30952381
113,1,0.090225564,0.909774436
114,1,0.090225564,0.909774436
115,1,0.323529412,0.676470588
116,1,0.323529412,0.676470588
117,0,0.785714286,0.214285714
118,0,0.69047619,0.30952381
119,1,0.323529412,0.676470588
120,0,0.785714286,0.214285714
121,1,0.090225564,0.909774436
122,1,0.090225564,0.909774436
123,0,0.69047619,0.30952381
124,0,0.785714286,0.214285714
125,0,0.854545455,0.145454545
126,1,0.19047619,0.80952381
127,1,0.090225564,0.909774436
128,1,0.090225564,0.909774436
129,0,0.854545455,0.145454545
130,0,0.854545455,0.145454545
131,0,0.854545455,0.145454545
132,0,0.611111111,0.388888889
133,1,0.19047619,0.80952381
134,1,0.090225564,0.909774436
135,1,0.090225564,0.909774436
136,0,0.636363636,0.363636364
137,0,0.69047619,0.30952381
138,0,0.854545455,0.145454545
139,0,0.854545455,0.145454545
140,0,0.888888889,0.111111111
141,0,0.7,0.3
142,1,0.090225564,0.909774436
143,0,0.888888889,0.111111111
144,0,0.854545455,0.145454545
145,1,0.090225564,0.909774436
146,1,0.090225564,0.909774436
147,0,0.611111111,0.388888889
148,1,0.090225564,0.909774436
149,1,0.090225564,0.909774436
150,0,0.785714286,0.214285714
151,1,0.090225564,0.909774436
152,0,0.69047619,0.30952381
153,1,0.090225564,0.909774436
154,0,0.7,0.3
155,0,0.7,0.3
156,1,0.090225564,0.909774436
157,0,0.69047619,0.30952381
158,1,0.090225564,0.909774436
159,0,0.7,0.3
160,1,0.090225564,0.909774436
161,1,0.2,0.8
162,0,0.785714286,0.214285714
163,0,0.854545455,0.145454545
164,1,0.090225564,0.909774436
165,0,0.854545455,0.145454545
166,1,0.090225564,0.909774436
167,1,0.090225564,0.909774436
168,1,0.19047619,0.80952381
169,0,0.854545455,0.145454545
170,1,0.2,0.8
171,1,0.090225564,0.909774436
172,1,0.2,0.8
173,1,0.090225564,0.909774436
174,0,0.7,0.3
175,0,0.611111111,0.388888889
176,0,0.636363636,0.363636364
177,0,0.854545455,0.145454545
178,0,0.854545455,0.145454545
179,1,0.090225564,0.909774436
180,0,0.611111111,0.388888889
181,0,0.854545455,0.145454545
182,0,0.854545455,0.145454545
183,0,0.854545455,0.145454545
184,0,0.854545455,0.145454545
185,0,0.854545455,0.145454545
186,0,0.854545455,0.145454545
187,1,0,1
188,0,0.854545455,0.145454545
189,0,0.69047619,0.30952381
190,0,0.636363636,0.363636364
191,0,0.854545455,0.145454545
192,0,0.854545455,0.145454545
193,1,0.090225564,0.909774436
