,Predicted_RetailPrice
1,19199.09978
2,19199.09978
3,29530.06943
4,29530.06943
5,29530.06943
6,29530.06943
7,29530.06943
8,29530.06943
9,29530.06943
10,29530.06943
11,29530.06943
12,29530.06943
13,29530.06943
14,29530.06943
15,29530.06943
16,29530.06943
17,29530.06943
18,29530.06943
19,29530.06943
20,29530.06943
21,29530.06943
22,29530.06943
23,29530.06943
24,29530.06943
25,29530.06943
26,29530.06943
27,29530.06943
28,29530.06943
29,29530.06943
30,29530.06943
31,29530.06943
32,29530.06943
33,29530.06943
34,29530.06943
35,29530.06943
36,29530.06943
37,29530.06943
38,29530.06943
39,29530.06943
40,29530.06943
41,29530.06943
42,29530.06943
43,29530.06943
44,29530.06943
45,29530.06943
46,29530.06943
47,29530.06943
48,29530.06943
49,29530.06943
50,29530.06943
51,29530.06943
52,29530.06943
53,29530.06943
54,29530.06943
55,29530.06943
56,29530.06943
57,29530.06943
58,29530.06943
59,29530.06943
60,29530.06943
61,29530.06943
62,13157.53703
63,13157.53703
64,13157.53703
65,13157.53703
66,13157.53703
67,13157.53703
68,13157.53703
69,50960.48882
70,50960.48882
71,50960.48882
72,50960.48882
73,50960.48882
74,50960.48882
75,50960.48882
76,13157.53703
77,13157.53703
78,13157.53703
79,13157.53703
80,13157.53703
81,13157.53703
82,13157.53703
83,13157.53703
84,13157.53703
85,13157.53703
86,13157.53703
87,13157.53703
88,13157.53703
89,13157.53703
90,38433.73667
91,38433.73667
92,38433.73667
93,38433.73667
94,38433.73667
95,38433.73667
96,38433.73667
97,26345.90176
98,26345.90176
99,26345.90176
100,26345.90176
101,26345.90176
102,26345.90176
103,26345.90176
104,13157.53703
105,13157.53703
106,13157.53703
107,13157.53703
108,13157.53703
109,13157.53703
110,13157.53703
111,19199.09978
112,19199.09978
113,19199.09978
114,19199.09978
115,19199.09978
116,19199.09978
117,19199.09978
118,19199.09978
119,19199.09978
120,19199.09978
121,19199.09978
122,19199.09978
123,19199.09978
124,19199.09978
125,19199.09978
126,19199.09978
127,19199.09978
128,19199.09978
129,19199.09978
130,19199.09978
131,19199.09978
132,19199.09978
133,19199.09978
134,19199.09978
135,19199.09978
136,19199.09978
137,19199.09978
138,19199.09978
139,38433.73667
140,38433.73667
141,38433.73667
142,38433.73667
143,38433.73667
144,38433.73667
145,38433.73667
146,38433.73667
147,38433.73667
148,38433.73667
149,38433.73667
150,38433.73667
151,38433.73667
152,38433.73667
153,19199.09978
154,19199.09978
155,19199.09978
156,19199.09978
157,19199.09978
158,19199.09978
159,19199.09978
160,19199.09978
161,19199.09978
162,19199.09978
163,19199.09978
164,19199.09978
165,19199.09978
166,19199.09978
167,19199.09978
168,19199.09978
169,19199.09978
170,19199.09978
171,19199.09978
172,19199.09978
173,19199.09978
174,13157.53703
175,13157.53703
176,13157.53703
177,13157.53703
178,13157.53703
179,13157.53703
180,13157.53703
181,19199.09978
182,19199.09978
183,19199.09978
184,19199.09978
185,19199.09978
186,19199.09978
187,19199.09978
188,26345.90176
189,26345.90176
190,26345.90176
191,26345.90176
192,26345.90176
193,26345.90176
194,26345.90176
195,50960.48882
196,50960.48882
197,50960.48882
198,50960.48882
199,50960.48882
200,50960.48882
201,50960.48882
202,19199.09978
203,19199.09978
204,19199.09978
205,19199.09978
206,19199.09978
207,19199.09978
208,19199.09978
209,19199.09978
210,19199.09978
211,19199.09978
212,19199.09978
213,19199.09978
214,19199.09978
215,19199.09978
216,29530.06943
217,29530.06943
218,29530.06943
219,29530.06943
220,29530.06943
221,29530.06943
222,29530.06943
223,29530.06943
224,29530.06943
225,29530.06943
226,29530.06943
227,29530.06943
228,29530.06943
229,29530.06943
230,29530.06943
231,29530.06943
232,29530.06943
233,29530.06943
234,29530.06943
235,29530.06943
236,29530.06943
237,29530.06943
238,29530.06943
239,29530.06943
240,29530.06943
241,13157.53703
242,13157.53703
243,13157.53703
244,13157.53703
245,13157.53703
246,13157.53703
247,13157.53703
248,13157.53703
249,13157.53703
250,13157.53703
251,13157.53703
252,13157.53703
253,13157.53703
254,13157.53703
255,19199.09978
256,19199.09978
257,19199.09978
258,19199.09978
259,19199.09978
260,19199.09978
261,19199.09978
262,13157.53703
263,13157.53703
264,13157.53703
265,13157.53703
266,13157.53703
267,13157.53703
268,13157.53703
269,19199.09978
270,19199.09978
271,19199.09978
272,19199.09978
273,19199.09978
274,19199.09978
275,19199.09978
276,13157.53703
277,13157.53703
278,13157.53703
279,13157.53703
280,13157.53703
281,13157.53703
282,13157.53703
283,13157.53703
284,13157.53703
285,13157.53703
286,13157.53703
287,13157.53703
288,13157.53703
289,13157.53703
290,13157.53703
291,13157.53703
292,13157.53703
293,13157.53703
294,13157.53703
295,13157.53703
296,13157.53703
297,19199.09978
298,19199.09978
299,19199.09978
300,19199.09978
301,19199.09978
302,19199.09978
303,19199.09978
304,19199.09978
305,19199.09978
