,Predicted_Type,WindowFloatGlassTypeProbability,WindowNon-floatGlassTypeProbability,VehicleWindowGlassTypeProbability,ContainersTypeProbability,TablewareTypeProbability,VehicleHeadlampsTypeProbability
140,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
142,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
8,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
3,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
132,WinNF,0,0.9,0,0,0.1,0
149,Veh,0.230769231,0.307692308,0.384615385,0,0.076923077,0
113,WinNF,0,0.9,0,0,0.1,0
162,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
2,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
192,Head,0,0.045454545,0,0.045454545,0,0.909090909
93,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
39,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
188,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
94,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
25,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
100,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
136,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
73,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
182,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
59,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
65,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
60,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
69,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
29,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
141,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
173,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
51,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
186,Head,0,0.045454545,0,0.045454545,0,0.909090909
144,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
175,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
96,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
156,Veh,0.230769231,0.307692308,0.384615385,0,0.076923077,0
147,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
35,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
68,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
70,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
13,Veh,0.230769231,0.307692308,0.384615385,0,0.076923077,0
16,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
210,Head,0,0.045454545,0,0.045454545,0,0.909090909
11,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
164,Head,0,0.045454545,0,0.045454545,0,0.909090909
80,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
83,Veh,0.230769231,0.307692308,0.384615385,0,0.076923077,0
20,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
108,WinNF,0,0.9,0,0,0.1,0
130,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
46,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
181,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
158,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
152,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
176,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
50,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
150,Veh,0.230769231,0.307692308,0.384615385,0,0.076923077,0
72,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
190,Head,0,0.045454545,0,0.045454545,0,0.909090909
10,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
205,Head,0,0.045454545,0,0.045454545,0,0.909090909
15,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
109,WinNF,0,0.9,0,0,0.1,0
67,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
19,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
114,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
193,Head,0,0.045454545,0,0.045454545,0,0.909090909
183,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
133,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
127,Veh,0.230769231,0.307692308,0.384615385,0,0.076923077,0
42,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
105,WinNF,0,0.9,0,0,0.1,0
66,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
97,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
12,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
112,WinNF,0,0.9,0,0,0.1,0
126,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
211,Head,0,0.045454545,0,0.045454545,0,0.909090909
137,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
145,Veh,0.230769231,0.307692308,0.384615385,0,0.076923077,0
179,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
106,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
122,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
161,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
52,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
171,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
197,Head,0,0.045454545,0,0.045454545,0,0.909090909
85,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
184,WinNF,0,0.9,0,0,0.1,0
53,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
49,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
47,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
155,Veh,0.230769231,0.307692308,0.384615385,0,0.076923077,0
75,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
95,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
131,WinNF,0,0.9,0,0,0.1,0
198,Head,0,0.045454545,0,0.045454545,0,0.909090909
159,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
82,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
102,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
58,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
5,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
44,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
204,Head,0,0.045454545,0,0.045454545,0,0.909090909
195,Head,0,0.045454545,0,0.045454545,0,0.909090909
212,Head,0,0.045454545,0,0.045454545,0,0.909090909
79,Veh,0.230769231,0.307692308,0.384615385,0,0.076923077,0
138,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
177,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
17,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
143,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
54,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
203,Head,0,0.045454545,0,0.045454545,0,0.909090909
87,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
23,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
89,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
135,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
111,WinNF,0,0.9,0,0,0.1,0
214,Head,0,0.045454545,0,0.045454545,0,0.909090909
30,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
45,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
78,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
172,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
7,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
101,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
163,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
180,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
56,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
107,Head,0,0.045454545,0,0.045454545,0,0.909090909
43,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
189,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
110,WinNF,0,0.9,0,0,0.1,0
121,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
185,Veh,0.230769231,0.307692308,0.384615385,0,0.076923077,0
36,Veh,0.230769231,0.307692308,0.384615385,0,0.076923077,0
48,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
6,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
167,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
201,Head,0,0.045454545,0,0.045454545,0,0.909090909
117,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
206,Head,0,0.045454545,0,0.045454545,0,0.909090909
153,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
76,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
55,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
38,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
1,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
61,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
74,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
208,Head,0,0.045454545,0,0.045454545,0,0.909090909
118,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
26,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
57,Veh,0.230769231,0.307692308,0.384615385,0,0.076923077,0
21,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
22,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
92,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
63,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
165,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
18,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
24,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
77,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
84,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
191,Head,0,0.045454545,0,0.045454545,0,0.909090909
115,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
64,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
33,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
148,Veh,0.230769231,0.307692308,0.384615385,0,0.076923077,0
9,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
166,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
123,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
125,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
200,Head,0,0.045454545,0,0.045454545,0,0.909090909
196,Head,0,0.045454545,0,0.045454545,0,0.909090909
34,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
120,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
146,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
62,Head,0,0.045454545,0,0.045454545,0,0.909090909
174,WinNF,0,0.9,0,0,0.1,0
202,Veh,0.230769231,0.307692308,0.384615385,0,0.076923077,0
71,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
199,Head,0,0.045454545,0,0.045454545,0,0.909090909
14,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
41,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
160,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
119,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
128,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
157,Veh,0.230769231,0.307692308,0.384615385,0,0.076923077,0
134,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
104,WinNF,0,0.9,0,0,0.1,0
28,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
168,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
32,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
209,Head,0,0.045454545,0,0.045454545,0,0.909090909
124,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
81,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
129,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
169,Con,0,0.117647059,0,0.470588235,0.352941176,0.058823529
178,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
99,WinNF,0.153846154,0.794871795,0.051282051,0,0,0
98,WinF,0.728571429,0.171428571,0.085714286,0,0,0.014285714
194,Head,0,0.045454545,0,0.045454545,0,0.909090909
