,Predicted_Survived,PassengerDiedProbability,PassengerSurvivedProbability
1,survived,0.184615385,0.815384615
2,survived,0.25,0.75
3,survived,0.184615385,0.815384615
4,died,0.814049587,0.185950413
5,survived,0.184615385,0.815384615
6,died,0.814049587,0.185950413
7,survived,0.184615385,0.815384615
8,died,0.814049587,0.185950413
9,survived,0.184615385,0.815384615
10,died,0.814049587,0.185950413
11,died,0.814049587,0.185950413
12,survived,0.184615385,0.815384615
13,survived,0.184615385,0.815384615
14,survived,0.184615385,0.815384615
15,died,0.814049587,0.185950413
16,died,0.814049587,0.185950413
17,survived,0.184615385,0.815384615
18,survived,0.184615385,0.815384615
19,died,0.814049587,0.185950413
20,died,0.814049587,0.185950413
21,survived,0.184615385,0.815384615
22,died,0.814049587,0.185950413
23,survived,0.184615385,0.815384615
24,survived,0.184615385,0.815384615
25,died,0.814049587,0.185950413
26,died,0.814049587,0.185950413
27,survived,0.184615385,0.815384615
28,survived,0.184615385,0.815384615
29,died,0.814049587,0.185950413
30,died,0.814049587,0.185950413
31,died,0.814049587,0.185950413
32,survived,0.184615385,0.815384615
33,survived,0.184615385,0.815384615
34,died,0.814049587,0.185950413
35,survived,0.184615385,0.815384615
36,survived,0.184615385,0.815384615
37,died,0.814049587,0.185950413
38,died,0.814049587,0.185950413
39,survived,0.184615385,0.815384615
40,survived,0.184615385,0.815384615
41,survived,0.184615385,0.815384615
42,survived,0.184615385,0.815384615
43,died,0.814049587,0.185950413
44,died,0.814049587,0.185950413
45,survived,0.184615385,0.815384615
46,died,0.814049587,0.185950413
47,survived,0.184615385,0.815384615
48,died,0.814049587,0.185950413
49,died,0.814049587,0.185950413
50,died,0.814049587,0.185950413
51,died,0.814049587,0.185950413
52,survived,0.184615385,0.815384615
53,died,0.814049587,0.185950413
54,survived,0.184615385,0.815384615
55,died,0.814049587,0.185950413
56,died,0.814049587,0.185950413
57,survived,0.184615385,0.815384615
58,died,0.814049587,0.185950413
59,survived,0.184615385,0.815384615
60,died,0.814049587,0.185950413
61,survived,0.184615385,0.815384615
62,survived,0.184615385,0.815384615
63,survived,0.184615385,0.815384615
64,died,0.814049587,0.185950413
65,died,0.814049587,0.185950413
66,survived,0.184615385,0.815384615
67,survived,0.184615385,0.815384615
68,died,0.814049587,0.185950413
69,survived,0.184615385,0.815384615
70,died,0.814049587,0.185950413
71,survived,0.184615385,0.815384615
72,survived,0.184615385,0.815384615
73,died,0.814049587,0.185950413
74,survived,0.184615385,0.815384615
75,survived,0.184615385,0.815384615
76,died,0.814049587,0.185950413
77,survived,0.184615385,0.815384615
78,died,0.814049587,0.185950413
79,died,0.814049587,0.185950413
80,survived,0.184615385,0.815384615
81,died,0.814049587,0.185950413
82,survived,0.184615385,0.815384615
83,died,0.814049587,0.185950413
84,survived,0.184615385,0.815384615
85,died,0.814049587,0.185950413
86,survived,0.25,0.75
87,survived,0.184615385,0.815384615
88,died,0.814049587,0.185950413
89,survived,0.184615385,0.815384615
90,survived,0.184615385,0.815384615
91,survived,0.184615385,0.815384615
92,died,0.814049587,0.185950413
93,died,0.814049587,0.185950413
94,survived,0.184615385,0.815384615
95,survived,0.184615385,0.815384615
96,survived,0.184615385,0.815384615
97,survived,0.184615385,0.815384615
98,died,0.814049587,0.185950413
99,died,0.814049587,0.185950413
100,survived,0.184615385,0.815384615
101,survived,0.184615385,0.815384615
102,survived,0.184615385,0.815384615
103,died,0.814049587,0.185950413
104,died,0.814049587,0.185950413
105,survived,0.184615385,0.815384615
106,survived,0.184615385,0.815384615
107,died,0.814049587,0.185950413
108,died,0.814049587,0.185950413
109,survived,0.184615385,0.815384615
110,died,0.814049587,0.185950413
111,survived,0.184615385,0.815384615
112,died,0.814049587,0.185950413
113,survived,0.184615385,0.815384615
114,died,0.814049587,0.185950413
115,survived,0.184615385,0.815384615
116,survived,0.184615385,0.815384615
117,survived,0.184615385,0.815384615
118,died,0.814049587,0.185950413
119,died,0.814049587,0.185950413
120,died,0.814049587,0.185950413
121,died,0.814049587,0.185950413
122,survived,0.184615385,0.815384615
123,died,0.814049587,0.185950413
124,survived,0.184615385,0.815384615
125,died,0.814049587,0.185950413
126,survived,0.184615385,0.815384615
127,died,0.814049587,0.185950413
128,died,0.814049587,0.185950413
129,survived,0.184615385,0.815384615
130,died,0.814049587,0.185950413
131,survived,0.184615385,0.815384615
132,died,0.814049587,0.185950413
133,survived,0.184615385,0.815384615
134,died,0.814049587,0.185950413
135,died,0.814049587,0.185950413
136,survived,0.184615385,0.815384615
137,died,0.814049587,0.185950413
138,survived,0.184615385,0.815384615
139,died,0.814049587,0.185950413
140,died,0.814049587,0.185950413
141,survived,0.184615385,0.815384615
142,survived,0.184615385,0.815384615
143,survived,0.184615385,0.815384615
144,died,0.814049587,0.185950413
145,survived,0.184615385,0.815384615
146,died,0.814049587,0.185950413
147,died,0.814049587,0.185950413
148,survived,0.184615385,0.815384615
149,survived,0.184615385,0.815384615
150,survived,0.184615385,0.815384615
151,died,0.814049587,0.185950413
152,died,0.814049587,0.185950413
153,died,0.814049587,0.185950413
154,died,0.814049587,0.185950413
155,died,0.814049587,0.185950413
156,died,0.814049587,0.185950413
157,died,0.814049587,0.185950413
158,survived,0.184615385,0.815384615
